Battle     49:     C     D
    25             9    12
    30             7    11
    35             6     8
    40             4     8
    45             4     8
    50             3     8
    55             2     4
    60             2     3
    65             1     3
    70             0     3

Battle    139:     F     G
     0            25    25
     5            15    20
    10            14    20
    15            11    19
    20            10    16
    25             4    14
    30             3    13
    35             2    10
    40             0     9

Battle    140:     F     G
     0            25    25
     5            19    17
    10            12    13
    15            10    13
    20             8    12
    25             7     8
    30             6     8
    35             5     8
    40             5     7
    45             4     7
    50             4     6
    55             3     5
    60             3     5
    65             2     5
    70             1     3
    75             1     3

Battle 379:	I	N
0	25	25
5	22	22
10	20	21
15	17	18
20	16	18
25	16	16
30	15	15
35	14	15
40	13	15
45	10	12
50	7	11
55	7	11
60	7	11
65	7	11
70	4	9
75	3	7
80	3	6
85	1	6
90	0	6

Battle 380:	I	N
0	25	25
5	22	18
10	22	17
15	20	14
20	20	12
25	20	12
30	19	9
35	18	7
40	17	4
45	17	4
50	17	2
55	14	2
60	12	1
65	11	0

Battle 381:	I	N
0	25	25
5	25	21
10	24	19
15	23	18
20	23	16
25	23	15
30	22	15
35	22	15
40	22	15
45	22	15
50	20	12
55	20	12
60	20	12
65	19	10
70	19	10
75	19	10
80	19	8
85	19	7
90	18	6
95	17	5
100	16	2
105	14	1
110	12	0

Battle 382:	I	N
0	10	40
5	8	39
10	7	38
15	5	37
20	1	37
25	1	37
30	0	37

Battle 383:	I	N
0	40	10
5	38	5
10	38	1
15	38	1
20	38	1
25	38	0

Battle 384:	I	N
0	40	10
5	38	2
10	38	1
15	37	0

Battle 385:	I	N
0	10	40
5	7	39
10	2	38
15	1	38
20	1	37
25	0	37

Battle 386:	I	N
0	10	40
5	4	38
10	3	37
15	1	37
20	1	36
25	0	36

Battle 387:	I	N
0	40	10
5	39	9
10	38	7
15	37	0

